reviews,lemmas,lemmas,aspectCategory
For an untrendy rip-off- eat here.,"['rip', 'eat', 'untrendi']",untrendy rip-off-;rip-off- eat;,anecdotes/miscellaneous
And you're hungry a few hours later.,"['hour', 'hungri', 'later']",few hours;,food
I can't wait to go back.,"['go', 'back', 'wait']",n't wait;,anecdotes/miscellaneous
I HATE HATE HATE this place.,"['place', 'hate']",i hate;hate hate;,anecdotes/miscellaneous
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,"['visit', 'want', 'manag', 'enjoy', 'make', 'even', 'sure']",even had;,anecdotes/miscellaneous
The staff there is very attentive and down to earth.,"['staff', 'attent', 'earth']",very attentive;,service
"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.","['food', 'wall', 'atmospher', 'excel', 'feel', 'place', 'mizu', 'hole', 'servic', 'amount', 'amiabl', 'larg', 'go']",n't go;excellent service;large amounts;amiable atmosphere;hole-in-the-wall feeling;,food
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.","['bad', 'date', 'much', 'though', 'bring', 'recommend', 'either', 'server', 'alway', 'servic', 'expect', 'would', 'anyth']",always bad;n't expect;not recommend;here either;,service
Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,"['includ', 'pair', 'three', 'wine', 'meal', 'night', 'plu', 'monday', 'fix', 'cours', 'glass', 'bargain', 'prix']",monday nights;*three* glasses;,price
Wonderful!,['wonder'],,anecdotes/miscellaneous
It took them 15 minutes to put water in our glasses.,"['take', 'put', 'glass', 'water', 'minut']",put water;,service
The service is descent even when this small place is packed.,"['small', 'descent', 'even', 'servic', 'place', 'pack']",small place;,service
This is the best sushi in new york city - hands down.,"['hand', 'sushi', 'best', 'new', 'york', 'citi']",best sushi;new york;,food
Go hungry and enjoy.,"['hungri', 'go', 'enjoy']",,anecdotes/miscellaneous
I have eaten a lot of pizza here.,"['eat', 'pizza', 'lot']",,anecdotes/miscellaneous
This place is worth an one-hour drive.,"['drive', 'one', 'hour', 'worth', 'place']",one-hour drive;,anecdotes/miscellaneous
Great value for the quality ingredients.,"['ingredi', 'valu', 'qualiti', 'great']",great value;,food
"The Thali was small, thoroughly unremarkable, and $14.95.","['thali', 'small', 'thoroughli', 'unremark']",thoroughly unremarkable;,food
The sushi is also great!,"['great', 'sushi', 'also']",also great;,food
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,"['chef', 'delic', 'fabul', 'ravioli', 'entre', 'tender', 'rememb', 'complimentari', 'truffl', 'amaz', 'langostin', 'sauc', 'squash', 'delici', 'cakebread', 'butternut', 'even', 'drink', 'whole', 'cabernet', 'dessert', 'app', 'butteri']",complimentary chef;delicate butternut;delicious truffle;amazing buttery;n't remember;fabulous cakebread;cakebread cabernet;whole evening;,food
Truly the mark of an attentive waiter.,"['waiter', 'truli', 'attent', 'mark']",attentive waiter;,service
"The food here is rather good, but only if you like to wait for it.","['like', 'wait', 'good', 'food', 'rather']",here is;rather good;,food
I got an excellent piece of cheesecake and we had several other nice pastries.,"['get', 'excel', 'nice', 'cheesecak', 'pastri', 'sever', 'piec']",excellent piece;several other;other nice;nice pastries;,food
"The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the menu and make excelent recomendations.","['recomend', 'know', 'staff', 'prompt', 'jump', 'everi', 'excel', 'well', 'fast', 'behind', 'item', 'alway', 'train', 'menu', 'make', 'fix', 'drink', 'kind', 'bar', 'detail']",well trained;always prompt;fix drinks;know details;excelent recomendations;,service
The makhani was OK --the korma was bland.,"['korma', 'bland', 'ok', 'makhani']",was bland;,food
The food is inventive but still keeps traditional indian flavoring.,"['invent', 'keep', 'tradit', 'indian', 'flavor', 'still', 'food']",still keeps;traditional indian;indian flavoring;,food
All I can say is WOW!,"['say', 'wow']",,anecdotes/miscellaneous
"though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele.","['could', 'clientel', 'larg', 'hous', 'though', 'one', 'cordial', 'servic', 'due', 'better', 'group', 'gener', 'possibl', 'warm']",possibly due;very large;large group;very cordial;general clientele;,service
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","['small', 'villag', 'decor', 'east', 'romant', 'ish', 'diner', 'expect', 'simpl', 'kind', 'place', 'spars']",very diner-ish;east village;not romantic;,ambience
This is a cute place and could be good but they need to get their act together.,"['get', 'cute', 'could', 'togeth', 'need', 'act', 'good', 'place']",cute place;,anecdotes/miscellaneous
The lox is always fresh too.,"['fresh', 'alway', 'lox']",always fresh;,food
"Sure enough, exactly 30 minutes later we got the call and were seated promptly.","['get', 'exactli', 'seat', 'call', 'later', 'enough', 'minut', 'promptli', 'sure']",,service
Service was very friendly.,"['friendli', 'servic']",very friendly;,service
So all I'm trying to say is this restaurant is by far the best thai food restaurant I've ever been to.,"['far', 'restaur', 'best', 'ever', 'say', 'tri', 'thai', 'food']",i 'm;best thai;ever been;,food
Food was OK - fish was cooked well.,"['fish', 'well', 'food', 'ok', 'cook']",,food
We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.,"['wo', 'chines', 'food', 'actual', 'leav', 'across', 'hop', 'hungri', 'good', 'street', 'go', 'mott']",actually left;mott street;good chinese;chinese food;,anecdotes/miscellaneous
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"['world', 'confit', 'duck', 'amaz', 'terrin', 'alway', 'gra', 'foie', 'fig']",always amazing;,food
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.","['get', 'whole', 'great', 'staff', 'noir', 'one', 'set', 'despit', 'cafe', 'wish', 'truli', 'would', 'good', 'place', 'current', 'unprofession']",truly unprofessional;i wish;wish cafe;good staff;great place;,service
The service does sometimes lack focus and it is not ideal if you are in a hurry but I have never been treated rudely.,"['focu', 'lack', 'rude', 'servic', 'sometim', 'ideal', 'hurri', 'never', 'treat']",sometimes lack;lack focus;not ideal;never been;,service
The staff offers impeccable service.,"['impecc', 'staff', 'servic', 'offer']",impeccable service;,service
The catch is that you are charged extra for ANYTHING that you leave on your plate so don't be a greedy pig!,"['pig', 'extra', 'leav', 'plate', 'anyth', 'charg', 'catch', 'greedi']",so do;n't be;,anecdotes/miscellaneous
We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.,"['waiter', 'jamun', 'dessert', 'recommend', 'gulab', 'end', 'experi', 'great']",great experience;having gulab;,food
wont come back again for sure!,"['come', 'back', 'wont', 'sure']",back again;,anecdotes/miscellaneous
i went to utsav about a yr ago with my family.,"['utsav', 'famili', 'yr', 'go', 'ago']",i went;,anecdotes/miscellaneous
"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.","['fresh', 'compar', 'qualiti', 'opinion', 'consis', 'mamoun', 'valu', 'place', 'price', 'term']",n't compare;consisent quality;,food
"The place is sleek, modern and playfull and i will return again frequently.","['place', 'playful', 'frequent', 'sleek', 'return', 'modern']",again frequently;,ambience
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.","['godfath', 'year', 'know', 'emilio', 'serv', 'last', 'mortal', 'price', 'god', 'food', 'wine', 'continu', 'secret']",serve food;mortal prices;,price
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,"['touch', 'sweet', 'cute', 'memor', 'meal', 'brioch', 'favor', 'lolli', 'parti']",most memorable;memorable meal;,food
"After being told that our party of three would be seated in 10 minutes and watching other parties (multiples of 2 and higher) seated for 40 minutes, the three of us were squished into a small 2-person table.","['watch', 'small', 'tabl', 'seat', 'three', 'person', 'higher', 'would', 'tell', 'us', 'multipl', 'squish', 'minut', 'parti']",other parties;small 2-person;2-person table;,anecdotes/miscellaneous
And the bill was outragous.,"['bill', 'outrag']",,price
"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.","['far', 'list', 'yet', 'restaur', 'extens', 'well', 'servic', 'price', 'unimpos', 'attent', 'better', 'mani', 'notori', 'food', 'wine', 'midtown']",yet unimposing;far better;many notorious;notorious restaurants;wine list;well priced;,food
"Kind, attentive wait staff.","['kind', 'staff', 'wait', 'attent']",attentive wait;,service
Bon appettite!!,"['bon', 'appettit']",,anecdotes/miscellaneous
Salads were fantastic.,"['fantast', 'salad']",,food
The owners and employees are friendly and their pizza is fantastic.,"['owner', 'employe', 'friendli', 'pizza', 'fantast']",,food
"La Rosa waltzes in, and I think they are doing it the best.","['best', 'la', 'think', 'waltz', 'rosa']",i think;,anecdotes/miscellaneous
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.","['mussel', 'spici', 'tomato', 'fri', 'perfect', 'shoestr', 'especi', 'yummi', 'crispi', 'sauc', 'food', 'cook']",,food
The food is authentic Italian - delicious!,"['food', 'authent', 'italian', 'delici']",authentic italian;,food
"A great addition to Smith Street: finally, a place that's not pretentious and filled with women wearing Ugg boots.","['place', 'street', 'smith', 'women', 'wear', 'ugg', 'boot', 'fill', 'addit', 'pretenti', 'final', 'great']",great addition;smith street;not pretentious;ugg boots;,anecdotes/miscellaneous
skip dessert.,"['skip', 'dessert']",,food
We spent $200 in this place and left hungry and very disappointed.,"['disappoint', 'leav', 'spend', 'hungri', 'place']",very disappointed;,anecdotes/miscellaneous
It is simply amazing.,"['simpli', 'amaz']",simply amazing;,anecdotes/miscellaneous
I complete the total bagel experience by having it lightly toasted.,"['lightli', 'total', 'complet', 'bagel', 'experi', 'toast']",total bagel;lightly toasted;,anecdotes/miscellaneous
It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,"['like', 'hang', 'actual', 'forget', 'want', 'server', 'cool', 'instead', 'work']",actually worked;instead wanted;,service
I liked this place the first time but doubt I will ever return.,"['time', 'like', 'ever', 'first', 'doubt', 'return', 'place']",first time;ever return;,anecdotes/miscellaneous
The service is good and ambience is good for a date or group outing.,"['date', 'out', 'servic', 'group', 'good', 'ambienc']",,service
A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.,"['outsid', 'costco', 'money', 'snappl', 'sell', 'case', 'make', 'buy', 'way', 'right', 'great']",great way;,anecdotes/miscellaneous
It's all about the food !!,['food'],,food
Fast service.,"['servic', 'fast']",,service
"Skip this restaurant, it's a big disappointment.","['big', 'disappoint', 'skip', 'restaur']",big disappointment;,anecdotes/miscellaneous
"The staff is excellent, specjal: that girl behind the bar, european chic.","['european', 'staff', 'excel', 'behind', 'chic', 'specjal', 'girl', 'bar']",european chic;,service
"stick with the chicken, beef, and lamb dishes.","['chicken', 'lamb', 'beef', 'dish', 'stick']",lamb dishes;,food
"The service was bad, the food took to forever to come, we sat on the upper level.","['come', 'bad', 'forev', 'servic', 'take', 'upper', 'sit', 'food', 'level']",upper level;,service
